"hotelName;stars;price;cityName;countryCode;countryName;address;location;url;latitude;longitude"
"Hostal del Monte Ushuaia;2;99999;Ushuaia;AR;Argentina;Ricardo Rosales 305;Ushuaia Argentina;http://www.ushuaia-argentina.com.ar/;-54.8254;-68.3472"
"Hosteria Ailen Ushuaia;2;63;Ushuaia;AR;Argentina;Leandro N. Alem 3981;Ushuaia Argentina;;-54.821;-68.3517"
"Hosteria America;3;83;Ushuaia;AR;Argentina;Gobernador Paz 1665;Ushuaia Argentina;http://www.southamericavacationguide.com/;-54.8092;-68.3232"
"Hosteria Bella Vista;3;62;Ushuaia;AR;Argentina;Cabo De Hornos 4018;Ushuaia Argentina;http://www.hosteriabellavista.com/index.php?lang=en;-54.821;-68.3531"
"Hosteria Chalp;2.5;81;Ushuaia;AR;Argentina;Avenida Alem 1839;Ushuaia Argentina;;-54.8061;-68.3285"
"Hosteria del Recodo;3;49;Ushuaia;AR;Argentina;Calle del Recodo 2361;Ushuaia Argentina;http://hosteriadelrecodo.com/;-54.8319;-68.3529"
"Hosteria Foike;2;98;Ushuaia;AR;Argentina;CAMPOS 1554;Ushuaia Argentina;http://www.hosteriafoike.com.ar/;-54.8079;-68.3216"
"Hosteria Las Lengas - Tierra del Fuego;2.5;99999;Tierra del Fuego;CL;Chile;Lago Blanco;Tierra del Fuego Chile;http://hosterialaslengas.com/;-54.0273;-68.9342"
"Hosteria Les Eclaireurs;3;49;Ushuaia;AR;Argentina;Staiyakin 2676;Ushuaia Argentina;http://www.clickhoteles.com.ar/Ushuaia-Argentina/Hoteles/;-54.8094;-68.3335"
"Hosteria Los Fuegos;3;99999;Ushuaia;AR;Argentina;Av. Perito Moreno 4960;Ushuaia Argentina;http://www.hosterialosfuegos.com/;-54.7937;-68.2611"
"Hosteria Los Lagos;2;95;Ushuaia;AR;Argentina;Patagonia 66;Ushuaia Argentina;http://www.elcrucedelagos.com/Cruce-de-Lagos-Argentina-Chile/1;-54.809;-68.3176"
"Hosteria Mirabeagle;3;66;Ushuaia;AR;Argentina;De Los Nires No. 3220;Ushuaia Argentina;http://www.hosteriamirabeagle.com/;-54.7833;-68.2833"
"Hosteria Patagonia Jarke;3;130;Ushuaia;AR;Argentina;Av. Gobernador Paz 1305;Ushuaia Argentina;http://www.hosteriapatagoniaj.com/;-54.8076;-68.3171"
"Hosteria Rosa De Los Vientos Ushuaia;3;67;Ushuaia;AR;Argentina;Roca 533;Ushuaia Argentina;http://www.hrosadelosvientos.com.ar/;-54.8026;-68.3065"
"Hosteria Sloggett;3;99;Ushuaia;AR;Argentina;Gdor. Campos 1310;Ushuaia Argentina;;-54.8068;-68.3177"
"Hosteria Ushuaia Green House;3;99999;Ushuaia;AR;Argentina;Av De Los Aires S/n Barrio El Recodo;Ushuaia Argentina;http://www.ushuaiagreenhouse.com;-54.7833;-68.2834"
"Hosteria Valle Frio;3;76;Ushuaia;AR;Argentina;Hipólito Bouchard 310;Ushuaia Argentina;http://www.vallefrioushuaia.com/home.html;-54.802;-68.305"
"Hotel Austral Ushuaia;2;99999;Ushuaia;AR;Argentina;9 De Julio 250;Ushuaia Argentina;http://www.ushuaia.com.br/;-54.8063;-68.3101"
"Hotel Campanilla Ushuaia;2;83;Ushuaia;AR;Argentina;Urb El Recodo 825;Ushuaia Argentina;http://www.ushuaiahotels.net/;-54.8316;-68.3517"
"Hotel Cap Polonio;3;177;Ushuaia;AR;Argentina;San Martín 746;Ushuaia Argentina;http://www.hotelcappolonio.com.ar/;-54.8073;-68.3089"
"Hotel Capri Ushuaia;2;81;Ushuaia;AR;Argentina;San Martin 720;Ushuaia Argentina;;-54.8072;-68.3081"
"Hotel Las Lengas;3;137;Ushuaia;AR;Argentina;GOLETA FLORENCIA 1722;Ushuaia Argentina;http://www.laslengashotel.com.ar/;-54.8113;-68.3236"
"Hotel Los Nires;3;89;Ushuaia;AR;Argentina;Av. de Los Nires 3040;Ushuaia Argentina;http://www.nires.com.ar/;-54.836;-68.3613"
"Hotel Los Yamanas;2;99999;Ushuaia;AR;Argentina;Costa De Los Yamanas 3038;Ushuaia Argentina;http://www.hotelyamanas.com.ar/;-54.8307;-68.3391"
"Hotel Monaco;2;121;Ushuaia;AR;Argentina;San Martin 1355;Ushuaia Argentina;;-54.8094;-68.3166"
"Kauyeken Hotel Ushuaia;3;73;Ushuaia;AR;Argentina;Ruta Nacional Nro. 3 km 3028;Ushuaia Argentina;http://www.ushuaiahotels.net/;-54.751;-68.1975"
"La Casa De Alba;1;53;Ushuaia;AR;Argentina;Belakaimain 247;Ushuaia Argentina;http://www.thestudentroom.co.uk/showthread.php?t=1316549;-54.7917;-68.2294"
"La Posada del Fin del Mundo;1;62;Ushuaia;AR;Argentina;Rivadavia 610;Ushuaia Argentina;http://www.posadafindelmundo.com.ar/;-54.8017;-68.3055"
"La Posta Hostel;1;20;Ushuaia;AR;Argentina;Peron Sur 864;Ushuaia Argentina;http://www.realadventures.com/listings/1246561_Haush-Hostel;-54.826;-68.33"
"Las Hayas Resort Hotel;5;209;Ushuaia;AR;Argentina;Luis Martial 1650 Martial 1650;Ushuaia Argentina;http://www.lashayashotel.com/;-54.8074;-68.3524"
"Las Rocios Hotel Ushuaia;2;77;Ushuaia;AR;Argentina;Primer Argentino 250;Ushuaia Argentina;http://www.lashayashotel.com/;-54.817;-68.3346"
"Lennox Hotel;4;149;Ushuaia;AR;Argentina;San Martin 776;Ushuaia Argentina;http://lennoxhotels.com/;-54.8074;-68.3089"
"Los Acebos;4;97;Ushuaia;AR;Argentina;Luis F. Martial 1911 Camino Al Glaciar Martial;Ushuaia Argentina;http://www.losacebos.com.ar/;-54.8066;-68.3524"
"Los Cauquenes Resort & Spa;5;233;Ushuaia;AR;Argentina;De La Ermita 3462;Ushuaia Argentina;http://www.loscauquenes.com/en/;-54.8419;-68.3726"
